id,term_en,term_local,language,category,definition_local,definition_en,example_local,example_en,version
om-001,Access Point,Bakka Tajaajilaa,om,Channel,"Fayyadamtootni tajaajila faayinaansii qaamaan yookiin karaa dijitaalaa (kanneen akka kaffaltii raawwachuu, maallaqa erguu, yookiin deeggarsa argachuu) itti argataniidha. Ulaan tajaajilaa damee baankii, ATM, maashinii kaffaltii, suuqii bakka bu’aa, bilbila moobaayilaa, fi kompiitara ta’uu danda’a.","A physical or digital location where users can interact with digital financial services-such as making payments, sending money, or getting support. Access points can include bank branch offices, ATMs, terminals at the POS, agent outlets, mobile phones, and computers.","Suuqiin bakka bu’aa herreega mobaayilaa yookan koodiin gabaabaa bilbilaa haftee herregaa ilaaluuf gargaaru, lachuu akka bakka tajaajilli itti argatanitti lakkaa’amu.",A mobile money agent kiosk or a USSD code on a basic phone that allows users to check their balance are both considered access points.,1.0
om-002,Accessibility,Dhaqqabamummaa,om,Concept,"Haala itti namoonni, bakka jireenyaa, sadarkaa barnootaa, dandeettii qaamaa, yookiin teeknoolojii fayyadamuu isaanii irratti osoo hin hundaa’in, tajaajila faayinaansii dijitaalaa salphaatti argachuu fi irraa fayyadamuu danda’aniidha.","The ease with which individuals-regardless of their location, literacy level, physical ability, or access to technology-can use and benefit from digital financial services.","Tajaajilli maallaqa moobaayilaa karaa USSD hojjetuu fi afaanota naannootiin qajeelfama kennu, fayyadamtoota baadiyyaa bilbila ammayyaa hin qabneef akka tajaajila dhaqqabamaatti (accessible) ilaalama.",A mobile money service that works via USSD and provides instructions in local languages is considered accessible to rural users without smartphones.,1.0
om-003,Account,Herreega,om,Product/Instrument,"Galmee dhuunfaa dhaabbatni tajaajila faayinaansii qabatu, fayyadamtootni maallaqa kuufachuu, sochii herreegaa hordofuu, fi tajaajiloota akka erguu, fudhachuu, fi qusachuu itti argataniidha.","A personal record with a financial service provider where users can store money, track transactions, and access services like sending, receiving, or saving funds.","Herreegni maallaqa moobaayilaa, fayyadamtoonni baadiyyaa jiran maatiif maallaqa akka ergan, meeshaa akka bitatanii fi maallaqa alaa ergamu (remittance) bilbila isaaniitiin akka fudhatan isaan dandeessisa.","A mobile money account lets users in rural areas send money to family, pay for goods, and receive remittances using their phone.",1.0
om-004,Active User,Fayyadamaa Si’ataa,om,Metric,"Nama yeroo hunda tajaajila faayinaansii dijitaalaa fayyadamuun sochii maallaqaa kanneen akka maallaqa erguu, kaffaltii raawwachuu, yookiin oomisha faayinaansii argachuu raawwatu.","A person that regularly uses digital financial services to perform transactions such as sending money, making payments, or accessing financial products.","Qonnaan bulaan torban guutuu maallaqa moobaayilaa isaa fayyadamuun maatiif maallaqa ergu, kaardii guuttatu, fi xaa'oo bitatu, fayyadamaa si’ataa dha.","A farmer who uses their mobile money every week to send money to family, buy airtime, and pay for fertilizer is considered an active user.",1.0
om-005,Activate / Activation,Hojii eegalchiisuu,om,Process,"Gocha tajaajila faayinaansii haaraa, hin fayyadamamiin ture yookan ittifame (kan akka herrega baankii, kaardii liqii, ykn waaleetii dijitaalaa) akka hojii eegalu taasiisuudha. Kunis adeemsa herrega tajaajila faayinaansii tokko itti fayyadamuuf qopheessuuti.","The process of making a newly issued, dormant, or restricted financial product (such as a bank account, credit card, or digital wallet) functional and usable by the customer.","Fayyadamaan tokko baankii dhaqee herrega baankii moobaayilaa haaraa bana. Appii baankichaa erga buufatee booda, baankichi tajaajilicha eegalchiisuuf furtuu yookan koodii (activation key) gara bilbila fayyadamichaatti erga.",,1.0
om-006,Agent,Bakka Bu’aa,om,Role/Actor,"Nama yookiin daldalaa eeyyama qabuufi dhiyeessaa tajaajilaa bakka bu’uun tajaajila faayinaansii dijitaalaa (kanneen akka maallaqa galchuu, baasuu, galmeessuu fi deeggarsa maamilaa) kennudha.","A person or business authorized to provide digital financial services on behalf of a provider—such as cash-in, cash-out, registration, and customer support.","Abbaan suuqii maamiltoonni maallaqa moobaayilaa isaanii irra maallaqa akka galchan yookiin baasan gargaaru, bakka bu’aa baankii yookiin dhiyeessaa waaletii sanaati.",A shop owner helps customers deposit or withdraw money from their mobile money on behalf of a bank or wallet provider is an agent.,1.0
om-007,Agent Network,Hidhata Bakka Bu’ootaa,om,Infrastructure,"Garee bakka bu’ootaa gaaddisa tajaajila faayinaansii tokko jalatti hojjetanii fi bakkaadda addaatti tajaajila akka maallaqa galchuu, baasuu, fi galmeessuu kennanidha.","A group of agents working under a financial service provider to deliver DFS like cash-in, cash-out, registration, and support across different areas.","Suuqiin daldalaa kanneen hidhata bakka bu’ootaa (agent network) keessatti hammataman keessaa tokko ta’ee; bilbila harkaafi waraqaa eenyummaa fayyadamuun, dhaabbata tajaajila faayinaansii tokko jalatti ta'uudhaan, miseensota hawaasa naannawaatiif tajaajila faayinaansii dijiitaalaa kan kennu dha.","An agent network may include, mobile vendors who help people access digital financial services in their communities using phones and ID cards.",1.0
om-008,Agent Outlet,Wiirtuu Bakka Bu’aa,om,Channel,"Iddoo dhaabbataa bakka bu’aa (agent till) qabachuun, dhiyeessaa tajaajilaa bakka bu’ee maamiltoota galmeessuu, akkasumas maallaqa galchuu fi baasuu raawwatudha. Wiirtuuleen kunniin yeroo baay’ee daldala biraa (kan akka suuqii ykn tajaajila biroo) cinaatti tajaajila kana kennu.","A physical location that carries one or more agent tills, enabling it to perform enrolment as well as cash-in and cash-out transactions for customers on behalf of one or more providers. Agent outlets may have other businesses (typically SMEs) and support functions.","Suuqiin (grocery) xiqqaan mallattoo ""Bakka Bu'aa "" (agent) qabu fi kaffaltii raawwatu, Wiirtuu Bakka Bu'aati.","An agent outlet can be a small retail shop where customers go to send money, cash out, or get help with their mobile money using their phone and ID.",1.0
om-009,Agent Till,Herreega Bakka Bu’aa,om,Infrastructure,"Herreega dijitaalaa ykn waaletii dhaabbanni faayinaansii bakka bu’aadhaaf kennu ta’ee, kaapitaala hojii (float) ittiin bulchuu fi tajaajila maallaqa galchuu (cash-in) fi baasuu (cash-out) maamiltootaaf raawwachuuf kan tajaajiludha.","A digital account or wallet assigned to an agent by a financial service provider, used to manage float (working capital) for processing customer transactions like deposits and withdrawals.","Yeroo maallaqa callaa bakka bu'aatti kennitan, isaan maallaqa elektirooniksii Herreega Bakka Bu'aa isaanii keessaa gara bilbila keessaniitti ergu.","An agent uses their till to receive money from customers who want to deposit into their mobile wallets, and to give out cash when customers withdraw.",1.0
om-010,Aggregator,Walitti Qabaa,om,Role/actor,"Dhaabbata yookiin pilaatfoormii dhiyeessitoota tajaajila faayinaansii hedduu (baankota, telekoomii) fayyadamtoota yookiin bakka bu’oota waliin wal qunnamsiisudha. Sosochii maallaqaa qajeelchuu fi wal-unannoo mirkaneessuuf gargaara.","A company or platform that connects multiple financial service providers to users or agents, helping to route transactions, manage integrations, and ensure interoperability. Scheme rules often specify what aggregators are allowed to do.","Dhaabbanni kaffaltii tajaajilaa kaffaltii bishaanii, ibsaa, fi adabbii tiraafikaa appilikeeshinii tokko qofa keessatti baankii barbaadaniin akka kafaltan isiniif dhiyeessu Walitti Qabaa dha.","An aggregator enables a mobile money to work across different banks and telecoms, so users can send money or pay bills without needing separate accounts for each provider.",1.0
