id,term_en,term_local,language,category,definition_local,definition_en,example_local,example_en,version
am-001,Access Point,የአገልግሎት ነጥብ,am,Channel,ተጠቃሚዎች፤ ክፍያዎችን፣ ገንዘብ መላክ/መቀበልን፣ ወይም እገዛ ማግኘትን የመሳሰሉ የዲጂታል ፋይናንስ አገልግሎቶችን ማከናወን የሚችሉበት ቦታ ሲሆን፤ ቦታውም በአካል (በገጽ-ለገጽ) አሊያም በዲጂታል (በርቀት) ሊሆን ይችላል፡፡ የባንክ ቅርንጫፍ ጽሕፈት ቤት፣ ኤ/ቲ/ኤም ማሽን፣ የፖስ ማሽን፣ የወኪል መደብር፣ የእጅ ስልክ፣ እና ኮምፒዩተር የአገልግሎት ነጥቦች ወይም ቦታዎች ናቸው፡፡,"A physical or digital location where users can interact with digital financial services-such as making payments, sending money, or getting support. Access points can include bank branch offices, ATMs, terminals at the POS, agent outlets, mobile phones, and computers.",አንድ ግለሰብ በሞባይል-ዋሌቱ ውስጥ ያለውን ቀሪ ገንዘቡን ለማወቅ፤ የሞባይል-ገንዘብ ወኪል ሆኖ ወደሚሠራ ሱቅ በመሄድ ወይም በመደበኛ የእጅ ስልኩ የዩ/ኤስ/ኤስ/ዲ/ ኮድን በማስገባት መጠየቅ ይችላል፡፡ ሁለቱም ዘዴዎች አንደ አገልግሎት ነጥቦች ይቆጠራሉ፡፡,A mobile money agent kiosk or a USSD code on a basic phone that allows users to check their balance are both considered access points.,1.0
am-002,Accessibility,ተደራሽነት,am,Concept,በሰዎች የቦታ ርቀት፣ በትምህርት ደረጃ፣ እና በአካል የመገኘት ችሎታ፤ ብሎም ቴክኖሎጂ የመጠቀም ዕድል በመኖር እና ባለመኖር ሳይገደብ፤ የዲጂታል ፋይናንስ አገልግሎት አቅርቦት ሲኖር እና የሰዎች ተጠቃሚነት የተረጋገጠ ሲሆን ነው፡፡,"The ease with which individuals-regardless of their location, literacy level, physical ability, or access to technology-can use and benefit from digital financial services.",በመደበኛ የእጅ ስልኮች ላይ በአገርኛ ቋንቋ የዩ/ኤስ/ኤስ/ዲ/ ኮዶችን በማስገባት የሚያስተናግድ የሞባይል-ገንዘብ አገልግሎት ሰጪ፤ አገልግሎቱ ስማርት የእጅ ስልክ ለሌላቸው የገጠር ተጠቃሚዎች ጭምር ተደራሽ ነው፡፡,A mobile money service that works via USSD and provides instructions in local languages is considered accessible to rural users without smartphones.,1.0
am-003,Account,ሒሳብ (እንደ አገባቡ የሒሳብ ቁጥር),am,Product/Instrument,የፋይናንስ አገልግሎት ሰጪ፤ የአንድ ደንበኛውን ግላዊ መረጃ የሚሰንድበት ዓይነተኛ ቋት ሲሆን፤ ይህም ደንበኛው ገንዘብ ለማስቀመጥ፣ ውርኝትን/የገንዘብ እንቅስቃሴን ለመከታተል፣ ብሎም ገንዘብ መላክ፣ መቀበል፣ እና መቆጠብን የመሳሰሉ አገልግሎቶችን ለማግኘት ያስችለዋል፡፡,"A personal record with a financial service provider where users can store money, track transactions, and access services like sending, receiving, or saving funds.",የሞባይል-ገንዘብ የሒሳብ ቁጥር ያላቸው የገጠር ነዋሪዎች፤ በእጅ ስልካቸው አማካኝነት ለቤተሰባቸው ገንዘብ ለመላክ፣ ዕቃ ሲገዙ ለመክፈል፣ እና ሐዋላን ለመቀበል ይችላሉ፡፡,"A mobile money account lets users in rural areas send money to family, pay for goods, and receive remittances using their phone.",1.0
am-004,Active User,ህልው ተጠቃሚ,am,Metric,ገንዘብ መላክ፣ ክፍያዎችን መፈጸም፣ ወይም ልዩ ልዩ የፋይናንስ ተግባራትን የመሳሳሉ ውርኝቶችን ለማከናወን፤ የዲጂታል ፋይናንስ አገልግሎትን አዘውትሮ የሚገለገል አካልን (ግለሰብ፣ ድርጅት) ይገልጻል፡፡,"A person that regularly uses digital financial services to perform transactions such as sending money, making payments, or accessing financial products.",በሞባይል-ገንዘብ አማካኝነት በየሳምንቱ ለቤተሰቡ ገንዘብ የሚልክ፣ የአየር ጊዜ የሚገዛ፣ እና ማዳበሪያ የሚሸምት አርሶ-አደር፤ እንደ ‹‹ህልው ተጠቃሚ›› ይቆጠራል፡፡,"A farmer who uses their mobile money every week to send money to family, buy airtime, and pay for fertilizer is considered an active user.",1.0
am-005,Agent,ወኪል,am,Role/Actor,ከወካዩ ድርጅት በተሰጠው ሥልጣን መሠረት፤ ጥሬ ገንዘብ ገቢ እና/ወይም ወጪ ማድረግን፣ ሒሳብ መክፈትን፣ እና ለደንበኞች እገዛ መስጠትን የመሳሰሉ የዲጂታል ፋይናንስ አገልግሎቶችን የሚሠራ ግለሰብ ወይም ድርጅት ነው፡፡,"A person or business authorized to provide digital financial services on behalf of a provider—such as cash-in, cash-out, registration, and customer support.",ወኪል የሆነ ባለሱቅ፤ በባንክ ወይም በ[ዲጂታል] ዋሌት አገልግሎት ሰጪ ምትክ ወይም ፈንታ፤ ደንበኞች ገንዘባቸውን ከሞባይል-ገንዘብ ሒሳባቸው እንዲያወጡ ወይም እንዲያስገቡ ያግዛቸዋል፡፡,A shop owner helps customers deposit or withdraw money from their mobile money on behalf of a bank or wallet provider is an agent.,1.0
am-006,Agent Network,የወኪል ትስስሮሽ,am,Infrastructure,በአንድ የፋይናንስ አገልግሎት ሰጪ ሥር ሆነው፤ በተለያዩ ቦታዎች፤ ጥሬ-ገንዘብ ገቢ እና/ወይም ወጪ ማድረግ፣ ሒሳብ መክፈት፣ እና ለደንበኞች እገዛ መስጠት የመሳሰሉ የዲጂታል ፋይናንስ አገልግሎቶችን የሚሰጡ የወኪሎች ስብስብ ወይም ቡድን ነው፡፡,"A group of agents working under a financial service provider to deliver DFS like cash-in, cash-out, registration, and support across different areas.",በወኪል ትስስሮሽ ከሚታቀፉት ውስጥ አንዱ፤ በእጅ ስልክ ወይም በመታወቂያ አማካኝነት ለአካባቢው ማኅበረሰብ አባላት የዲጂታል ፋይናንስ አገልግሎቶችን የሚሰጥ ሱቅ ነው፡፡,"An agent network may include, mobile vendors who help people access digital financial services in their communities using phones and ID cards.",1.0
am-007,Agent Outlet,የወኪል መደብር,am,Channel,አንድ ወይም ብዙ የዲጂታል ፋይናንስ ድርጅቶችን ወክሎ፤ ለደንበኞች የምዝገባ እንዲሁም የጥሬ-ገንዘብ ገቢ እና/ወይም ወጪ አገልግሎት የሚሰጥበት ሥፍራ ነው፡፡ ወኪሉ በተመሳሳይ ወቅት ከአንድ በላይ የዲጂታል ፋይናንስ ድርጅቶችን ወክሎ የሚሠራ ከሆነ፤ ከአንድ በላይ የወኪል ስንቆች አሉት ማለት ነው፡፡ አብዛኛው የወኪል መደብሮች፤ የዲጂታል ፋይናንስ አገልግሎትን ከዋናው ሥራቸው ላይ በተደራቢነት የሚያከናውኑ አነስተኛ እና መካከለኛ ኢንተርፕራይዞች ናቸው፡፡,"A physical location that carries one or more agent tills, enabling it to perform enrolment as well as cash-in and cash-out transactions for customers on behalf of one or more providers. Agent outlets may have other businesses (typically SMEs) and support functions.",የወኪል መደብር የሚባለው፤ የደንበኞችን የእጅ ስልክ እና መታወቂያ ተጠቅሞ ገንዘብ ማስገባት፣ ጥሬ-ገንዘብ ወጪ ማድረግ፣ አሊያም የሞባይል-ገንዘብን የተመለከቱ እገዛዎችን የሚሰጥ አካል (ለምሳሌ አነስተኛ የችርቻሮ ሱቅ) ነው፡፡,"An agent outlet can be a small retail shop where customers go to send money, cash out, or get help with their mobile money using their phone and ID.",1.0
am-008,Agent Till,የወኪል ስንቅ,am,Infrastructure,የዲጂታል ፋይናንስ አገልግሎት ሰጪው/ወካዩ፤ ለወኪሉ የሚከፍትለት የዲጂታል ሒሳብ ወይም ዋሌት ሲሆን፤ ይህም ወኪሉ የደንበኞቹን የገቢ እና የወጪ ጥያቄዎችን የሚያስተናግድበት ወረት (የሥራ ማስኬጃ ገንዘብ) የሚቀመጥበት ነው፡፡,"A digital account or wallet assigned to an agent by a financial service provider, used to manage float (working capital) for processing customer transactions like deposits and withdrawals.",አንድ ወኪል፤ ወደ ሞባይል-ዋሌታቸው ገንዘብ ማስገባት ከሚሹ ደንበኞች ገንዘብ ተቀብሎ ለማኖር፤ እንዲሁም ጥሬ-ገንዘብ ሲፈልጉ አውጥቶ ለመስጠት፤ እና ለመሳሰለው ጉዳይ የወኪል ስንቅን ይጠቀማል፡፡,"An agent uses their till to receive money from customers who want to deposit into their mobile wallets, and to give out cash when customers withdraw.",1.0
am-009,Aggregator,ጀማይ,am,Role/actor,በርካታ የፋይናንስ አገልግሎት ሰጪዎችን ከተጠቃሚዎች ወይም ወኪሎች ጋር የሚያገናኝ አማካይ ድርጅት ወይም ፕላትፎርም ሲሆን፤ ውርኝቶችን ያቀባብላል፤ የእርስ በርስ መሰናሰልን ያመቻቻል፤ ተቋም/ፕላትፎርም-ዘለል ተናባቢነትን (interoperability) ያረጋግጣል፡፡ አንድ ጀማይ ለመሥራት የሚፈቀድለት ነገሮች አብዛኛውን ጊዜ በአሠራር ደንቦች ይወሰናሉ፡፡,"A company or platform that connects multiple financial service providers to users or agents, helping to route transactions, manage integrations, and ensure interoperability. Scheme rules often specify what aggregators are allowed to do.",ጀማይ፤ አንድ የሞባይል-ገንዘብ አገልግሎት በሁሉም የተለያዩ ባንኮች እና ቴሌኮሞች ጭምር ላይ መገልገል እንዲቻል የሚያደርግ አማካይ አካል ሲሆን፤ ይህም ተጠቃሚዎች በእያንዳንዱ አገልግሎት ሰጪ ዘንድ በተናጠል ሒሳብ መክፈት ሳያስፈልጋቸው፤ ደንበኛ ከሆኑበት ከአንዱ አገልግሎት ሰጪ ወደሌላው አገልግሎት ሰጪ ገንዘብ መላክ ወይም ቢል መክፈል ያስችላቸዋል፡፡,"An aggregator enables a mobile money to work across different banks and telecoms, so users can send money or pay bills without needing separate accounts for each provider.",1.0
am-010,App,መተግበሪያ,am,,መተግበሪያ ማለት፤ ገንዘብ ለመላክ፣ ክፍያዎችን ለመፈጸም፣ ቀሪ ገንዘብን ለማወቅ፣ አሊያም ተቀማጭን ለመቆጠብ የመሳሰሉ የዲጂታል ፋይናንስ አገልግሎቶችን ለማግኘት፤ ተጠቃሚዎች በስማርት የእጅ ስልኮቻቸው ወይም በታብሌቶቻቸው ላይ የሚጭኑት ሶፍትዌር ነው፡፡,"An app is a software program that users can download on smartphones or tablets to access digital financial services like sending money, paying bills, checking balances, or saving.",የታክሲ ሹፌር [በእጅ ስልኩ ላይ በጫነው] የፋይናንስ መተግበሪያ አማካኝነት፤ ከደንበኞቹ ዲጂታል ክፍያዎችን ይቀበላል፤ የነዳጅ ካርድን ይሞላል፤ ብሎም የየእጅ ስልክ ዳታ ሒሳብን ይከፍላል፡፡,"A taxi driver uses a financial app to receive digital payments from customers, top up fuel cards, and pay for mobile data.",1.0
